feature,importance
cat__마명_타이거로어,0
cat__마명_킹칼레,0
cat__마명_킹아너,0
cat__마명_킹마스터,0
cat__마명_킹다이아,0
cat__마명_킹고태양,0
cat__마명_키아오라,0
cat__마명_클림트월드,0
cat__마명_클레어빅뱅,0
cat__마명_클럽큐,0
cat__마명_크리솔피스,0
cat__마명_크리솔크라운,0
cat__마명_크리솔스톤,0
cat__마명_크리솔메이저,0
cat__마명_크리솔동해,0
cat__마명_토호마켓,0
cat__마명_테마탄생,0
cat__마명_턴테이블,0
cat__마명_터보차지,0
cat__마명_터보삭스,0
cat__마명_탭딘,0
cat__마명_태풍처럼,0
cat__마명_태평히어로,0
cat__마명_태평레전드,0
cat__마명_태칸,0
