birthday,chaksunT,faHrName,faHrNo,hrLastAmt,hrName,hrNo,meet,moHrName,moHrNo,name,ord1CntT,ord1CntY,ord2CntT,ord2CntY,ord3CntT,ord3CntY,owName,owNo,rank,rating,rcCntT,rcCntY,sex,trName,trNo
20220429,22950000,인디밴드,0028545,"25,000천원(개별)",글로벌기상,0052134,서울,하늘기상,0020802,한국,1,1,0,0,1,1,장재형,010611,국5,0,8,8,암,전승규,070182
20230420,8400000,지몰로지스트,6969075,"38,000천원(경매)",글로벌드림즈,0053601,서울,힐오브드림즈,0023687,한국,0,0,1,1,0,0,장재형,010611,국6,0,3,3,수,휴양마,0AAAAA
20230528,0,테스타마타,0034428,"35,000천원(개별)",글로벌디노,0054177,서울,래피즈로즈,0033095,한국,0,0,0,0,0,0,장재형,010611,국6,0,1,1,수,함완식,070248
20230218,9600000,카우보이칼,0038391,"30,000천원(개별)",글로벌랜드,0052911,서울,골든로즈Ⅱ,0041967,한국,0,0,0,0,1,1,장재형,010611,국6,0,4,4,암,이준철,070197
20190313,579900000,카우보이칼,0038391,"40,000천원(개별)",글로벌보배,0043713,서울,이상화,0021264,한국,7,0,6,0,9,4,장재형,010611,국1,0,38,9,수,정호익,070148
20170330,373890000,MUNNINGS,6964691,"79,040천원(개별)",글로벌삭스,0043495,서울,LET IT GO LADY,6105199,미국,6,0,6,1,3,0,김창식,010352,외1,0,40,9,거,휴양마,0AAAAA
20220512,133350000,투아너앤드서브,0041566,"25,000천원(개별)",글로벌서브,0051855,서울,글로벌퀸,0035525,한국,2,2,3,2,5,2,장재형,010611,국4,0,20,12,거,정호익,070148
20230305,93150000,가온챔프,0037610,"40,000천원(경매)",글로벌챔프,0053197,서울,가온퀸,0040216,한국,3,3,0,0,1,1,장재형,010611,국4,0,5,5,거,전승규,070182
20240320,0,미스치비어슬리,0038245,"50,000천원(개별)",글로벌최강,0055703,서울,해성스타,0036149,한국,0,0,0,0,0,0,김준현,106289,국6,0,0,0,수,안병기,070146
20230210,8400000,프로스펙티브,0045014,"50,000천원(경매)",글로벌카드,0052844,서울,와일드카드,0026757,한국,0,0,0,0,2,2,장재형,010611,국6,0,3,3,수,이준철,070197
